county,state,year,trees lost,grass lost,lost flooded veg,lost crops,lost shrub,gained trees,gained grass,gained flooded veg,gained crops,gained shrub
Alpine,California,2016,705677.3133524577,289664.23181278,4438.151023864746,2558268.8856367525,26901911.551472835,6857307.312000768,16650692.728299519,0.0,11278462.783494927,159043453.08903116
Alpine,California,2017,1379292.8170860738,1888671.1126455269,233.55020141601562,3091832.010734289,56632258.86309336,1949979.7688787123,6120155.715620393,0.0,7110788.737879944,46081961.00022111
Alpine,California,2018,434634.351039333,3456250.0264994903,0.0,5371037.431724758,35663740.48501901,3657287.8695071945,3307813.822353318,623.0242309570312,2973172.1006213916,71146026.82665746
Alpine,California,2019,156048.54291926365,6259771.446063952,1872.8946533203125,908607.6552226945,30893338.452537984,1913241.1701049805,953299.6585902495,16812.545959472656,13366828.030463455,49360405.545883775
Alpine,California,2020,3555720.341292258,736405.0758450977,2102.7416610717773,3506990.460879097,53379897.37942371,809783.3749694824,1585057.0972075819,6234.3035888671875,14651430.310343573,45191789.16649344
Alpine,California,2021,2155745.828337965,413301.40327453613,934.5676116943359,9077836.319533404,152310287.34077516,591477.0498962402,12019358.64225021,0.0,10890860.242700018,88310806.6605081
